modelo,mean_iou,mean_f1,mean_recall,mean_precision,mean_dice,mean_specificity,mean_f2,mean_pixel_accuracy,mean_boundary_iou,mean_hausdorff_95,mean_latency_ms,mean_vram_mb,train_time_minutes,eval_time_minutes
sam2_1_b_refcocog,0.774145420770073,0.8624175482730874,0.950915809887664,0.8085295678564034,0.8624175482730874,0.9751264025581342,0.9086442721486594,0.9724017742514216,0.11184632539636728,89.55158467431502,82.10339864095052,815.97412109375,52.22,0.47
sam2_1_l_kvasir,0.8606332517738561,0.9165808998893362,0.9123256827320131,0.9431017498241749,0.9165808998893362,0.9899258187829715,0.9119547121816102,0.973043564191571,0.14085668350799363,71.16096370883024,145.75203577677408,1458.64599609375,85.26,0.98
sam2_1_l_pascals,0.8577238410804,0.9144880858551732,0.8874076122483194,0.9583509113623385,0.914488085855173,0.992849415791015,0.8969607019598977,0.9665224021307264,0.20793617925977326,33.53616385568964,147.15639129281044,1458.64599609375,73.4,0.88
sam2_1_l_isic2016,0.8295889045510091,0.8998772410932542,0.8733710806875133,0.9544018447862537,0.8998772410932542,0.9831554535230422,0.8797993136490444,0.9503323953688276,0.02726943639044059,28.339166926086115,200.0528640042509,1458.64599609375,112.18,13.92
sam2_1_l_refcocog,0.8116674039837287,0.8831095925982542,0.8813531456696656,0.9071226036450944,0.8831095925982542,0.9906227556501934,0.8791648384898328,0.9771609639707625,0.13751162169680162,40.89803119426423,141.6226577758789,1458.64599609375,86.9,0.6
sam3_kvasir,0.8775655857209169,0.9288916412055512,0.9195383199903301,0.9531900294415472,0.9288916412055512,0.9907818138515635,0.9221119232639831,0.9725868725111187,0.13991614685393755,62.762988000444054,428.52262020111084,2310.61353515625,203.61,1.69
sam3_pascals,0.8907253232087223,0.9366680708519997,0.9472778679764898,0.939100821197406,0.9366680708519997,0.9830559744431779,0.9397293310308423,0.975625875763579,0.22952117938179298,36.39541168421376,423.01043681800365,2310.3125038146973,173.31,1.17
sam3_isic2016,0.8540964421372943,0.9172559023627832,0.9181634606163488,0.9333430529560667,0.9172559023627832,0.9661269825239901,0.9151541016906476,0.9580951357276946,0.030205192763284844,27.159168534148126,456.65844260545396,2312.8768848429254,240.77,9.79
sam3_refcocog,0.8387674758290767,0.9071213415434026,0.922777450965433,0.902718396236279,0.9071213415434027,0.9851750086751334,0.9152149221597123,0.9810597364860416,0.1299432656231479,36.73459593577378,426.57060782114667,2310.540758463542,205.41,1.22
sam3_refcocog_text,0.4857709913420203,0.5362465868003478,0.5572017745498784,0.5459505115215738,0.5362465868003478,0.9269812137862465,0.5441176879823799,0.8954634785614961,0.07567268569993263,147.59687566393188,610.8801844936089,3738.2395134228186,0,1.74
