modelo,mean_latency_ms,std_latency_ms,mean_vram_mb,std_vram_mb,n_images,pass,mode
sam3_kvasir,417.69893169403076,2.93215480924275,2277.0183330829327,0.21404300548700683,130,2,zero_shot
sam3_kvasir,417.25432139176587,2.152841986473754,2277.0183330829327,0.21404300548700683,130,3,zero_shot
sam3_pascals,419.4625991362113,2.270794561168924,2276.8466525607637,0.024878914494830304,108,1,zero_shot
sam3_pascals,418.1511313826949,2.5511757567818663,2276.8466525607637,0.024878914494830304,108,2,zero_shot
sam3_pascals,418.5201790597704,2.4403895606102664,2276.8466525607637,0.024878914494830304,108,3,zero_shot
sam3_isic2016,433.1844198338501,23.852608814491017,2278.775015233287,3.096311275805516,359,1,zero_shot
sam3_isic2016,433.1146501897105,23.493255059250966,2278.775015233287,3.096311275805516,359,2,zero_shot
sam3_isic2016,433.53974985213,23.538163058239995,2278.775015233287,3.096311275805516,359,3,zero_shot
sam3_refcocog,420.6752997178298,2.521454366994966,2276.944797926683,0.04632754605858584,130,1,zero_shot
sam3_refcocog,419.57206359276404,2.6676625896990376,2276.944797926683,0.04632754605858584,130,2,zero_shot
sam3_refcocog,419.73279256087085,2.451967495313029,2276.944797926683,0.04632754605858584,130,3,zero_shot
sam3_mapillary,463.7282760409775,16.084534974340592,2284.9566676740487,3.7331143885395237,9358,1,zero_shot
sam3_mapillary,463.9165828716656,16.329796865816842,2284.9566676740487,3.7331143885395237,9358,2,zero_shot
sam3_mapillary,462.8871769751206,16.48087308863189,2284.9566676740487,3.7331143885395237,9358,3,zero_shot
sam3_prompt_kvasir,221.19238743415247,5.149827792045542,3812.154169170673,0.23798777382478326,130,1,zero_shot
sam3_prompt_kvasir,222.14319522564227,5.6996162039072615,3812.154169170673,0.23798777382478326,130,2,zero_shot
sam3_prompt_kvasir,221.7175428683941,5.067098313441646,3812.154169170673,0.23798777382478326,130,3,zero_shot
sam3_prompt_pascals,222.3588713893184,5.351437044465266,3818.6950412326387,7.538686826437144,108,1,zero_shot
sam3_prompt_pascals,222.1833864847819,4.9356640329496395,3818.565904405382,7.537784215038611,108,2,zero_shot
sam3_prompt_pascals,223.41176977864018,5.013436504824989,3818.520417390046,7.574082422044605,108,3,zero_shot
sam3_prompt_isic2016,299.8335680257643,233.57338416442005,6004.444801096796,3516.9614101527245,359,1,zero_shot
sam3_prompt_isic2016,340.4599597527124,338.5640522606402,6004.588082401201,3517.011900233764,359,2,zero_shot
sam3_prompt_isic2016,308.9258132870815,249.05724447452207,6004.571085045264,3517.0681357030953,359,3,zero_shot
sam3_prompt_refcocog,223.86284608107346,4.330175300162556,3826.3703125,12.261462944500238,130,1,zero_shot
sam3_prompt_refcocog,223.57158660888672,5.476834303390407,3826.3238393930287,12.233334046406728,130,2,zero_shot
sam3_prompt_refcocog,222.8655063188993,5.229786511066359,3826.269347205529,12.270134441119387,130,3,zero_shot
