modelo,mean_iou,mean_f1,mean_recall,mean_precision,mean_dice,mean_specificity,mean_f2,mean_pixel_accuracy,mean_boundary_iou,mean_hausdorff_95,mean_latency_ms,mean_vram_mb,eval_time_minutes
sam3,0.4033080198148322,0.49109894035631974,0.6750541602278546,0.5008828816382805,0.49109894035631974,0.9836641215768704,0.5366958509181723,0.9748380949162287,0.0716468675089422,36.337739107805575,454.929104919861,8.83237230829832,111.16
sam3_prompt,0.17215929075678707,0.21348264139381157,0.2748841235365029,0.25569272963319484,0.21348264139381157,0.998091680940723,0.23087520184549393,0.9791286889552588,0.025121849657474753,135.73769286544191,692.2269879626689,436.39676228151484,391.09

sam_b,0.35848121666938865,0.4386631847269104,0.6562643036779328,0.4619614169413649,0.4386631847269104,0.9834632486862541,0.48537962653826633,0.9740186491840178,0.07070745335397437,42.37222408685211,137.08267468372074,2800.2641127911793,62.88
sam_l,0.36680278856069576,0.44202194291607577,0.6604049599194453,0.46141477545071186,0.44202194291607577,0.9817638835461675,0.48701293953253094,0.9727984172088625,0.07705320149466184,41.922513678729125,236.2300367039887,4431.1869843085,81.61
sam2_b,0.3920949110605293,0.46970429316643403,0.720247890792567,0.45733895489053217,0.46970429316643403,0.9780526655319461,0.5224322015950622,0.9697828238554997,0.07185547635866732,43.51799515987134,120.41005315399859,784.0165511702888,60.85
sam2_l,0.37583996981664414,0.45058297091450317,0.6925112759413926,0.45102965724761274,0.45058297091450317,0.9793306184657755,0.49832086665526026,0.9708445684471184,0.07192193122096265,43.38291817184631,166.57509402639297,1431.7099071137943,71.66
sam2_1_b,0.400520008250207,0.4776936962367579,0.7276930317813386,0.4609116074412077,0.4776936962367579,0.9778348994680061,0.5305029841115607,0.969687946934551,0.07310804303729154,43.579544543944365,119.4802602945656,783.7763734351372,60.9
sam2_1_l,0.3889846558262826,0.4670194134959609,0.6857459526755476,0.46717330828795967,0.467019413495961,0.9801759510566126,0.5132718491901848,0.971962931472212,0.07489298543484173,41.13687542285853,166.70231106854104,1431.9225701482926,71.83
sam3,0.4033080198148322,0.49109894035631974,0.6750541602278546,0.5008828816382805,0.49109894035631974,0.9836641215768704,0.5366958509181723,0.9748380949162287,0.0716468675089422,36.337739107805575,452.93749026557646,2284.9025405396533,111.58
sam3_prompt,0.4745351724236479,0.5745228887502138,0.7197218983594886,0.5651006398722391,0.5745228887502138,0.9959880947055147,0.6159274532559412,0.9913924679019922,0.06398483266476314,40.77839320488115,2128.9561407238316,11608.267475365777,1144.53
